x,alpha10,alpha08,alpha06,alpha04,alpha00
0.18505,0.40088,0.31244,0.24007,0.18635,0.14884
0.18799,0.40084,0.31244,0.24007,0.18639,0.14886
0.19137,0.40081,0.31243,0.24008,0.18643,0.14889
0.19524,0.40076,0.31243,0.24009,0.18648,0.14893
0.19953,0.40072,0.31242,0.2401,0.18654,0.14897
0.39413,0.39716,0.31133,0.23916,0.18805,0.15059
0.39616,0.3971,0.3113,0.23911,0.18805,0.15061
0.3964,0.39709,0.3113,0.23911,0.18805,0.15061
0.40279,0.39689,0.31121,0.23898,0.18802,0.15065
0.57594,0.39806,0.3126,0.24078,0.18959,0.15129
0.5985,0.40074,0.31409,0.24321,0.19089,0.15116
0.60038,0.40101,0.31424,0.24345,0.19101,0.15114
0.60268,0.40134,0.31442,0.24374,0.19117,0.15112
0.62249,0.40465,0.31617,0.24653,0.19266,0.15078
0.75092,0.4401,0.33633,0.27203,0.20988,0.17342
0.78909,0.45381,0.34668,0.2809,0.21875,0.17952
0.79513,0.45605,0.34868,0.28229,0.22042,0.1805
0.7969,0.4567,0.3493,0.2827,0.22093,0.18079
0.80304,0.459,0.35153,0.28409,0.22275,0.1818
0.8591,0.48221,0.38437,0.30247,0.24644,0.19528
0.86297,0.48414,0.38796,0.30492,0.24887,0.19725
0.8723,0.4892,0.39738,0.31111,0.25553,0.20198
0.87761,0.49241,0.40299,0.31478,0.25988,0.20452
0.89081,0.50217,0.41644,0.32437,0.27253,0.21064
0.91718,0.54118,0.44143,0.34644,0.29985,0.22326
0.92387,0.55313,0.44759,0.35345,0.30556,0.2267
0.92388,0.55314,0.4476,0.35346,0.30557,0.2267
0.92643,0.55674,0.44995,0.35656,0.30761,0.22805
0.95148,0.58342,0.4729,0.39771,0.32578,0.24341
0.95812,0.59103,0.47892,0.40397,0.33042,0.24898
0.96201,0.59605,0.48243,0.40728,0.33316,0.25321
0.97526,0.61675,0.49424,0.41775,0.3429,0.29724
0.98189,0.62837,0.50005,0.42278,0.34817,0.30531
0.986,0.63561,0.50361,0.42589,0.35162,0.30922
1.00068,0.65907,0.51614,0.43728,0.36502,0.32107
1.01634,0.6761,0.52954,0.45139,0.3799,0.33278
1.03475,0.68978,0.54643,0.48203,0.39564,0.34822
1.04014,0.69333,0.55192,0.49033,0.3996,0.35392
1.04142,0.69417,0.55329,0.49203,0.40049,0.35541
1.04937,0.69926,0.56241,0.501,0.40567,0.36549
1.06007,0.70604,0.57644,0.51067,0.41203,0.37921
1.07849,0.71763,0.60288,0.52359,0.42269,0.39496
1.08364,0.72082,0.61009,0.52658,0.42589,0.39786
1.10603,0.73423,0.63369,0.53696,0.44479,0.4068
1.15903,0.76106,0.64987,0.548,0.48642,0.41778
1.15999,0.76145,0.64986,0.54805,0.48639,0.41789
1.17748,0.76759,0.64856,0.54805,0.48459,0.41926
