x,alpha10,alpha08,alpha06,alpha04,alpha00
-0.00496,1.9679,1.39928,0.97833,0.59675,0.27923
-0.00353,1.96853,1.39998,0.97864,0.59705,0.27937
0.00282,1.97135,1.4031,0.98002,0.59837,0.27998
0.00907,1.97412,1.40616,0.98137,0.59967,0.28058
0.01781,1.978,1.41042,0.98327,0.6015,0.28142
0.12188,2.02409,1.45454,1.00531,0.62208,0.29148
0.19591,2.04301,1.4739,1.01943,0.6335,0.29884
0.20263,2.0439,1.47512,1.02059,0.63432,0.29955
0.20378,2.04405,1.47532,1.02079,0.63445,0.29967
0.21004,2.04486,1.47637,1.02185,0.63516,0.30035
0.21617,2.04563,1.47732,1.02286,0.63583,0.30105
0.39422,2.05489,1.48893,1.03244,0.64287,0.30851
0.39694,2.05472,1.48898,1.03229,0.64287,0.30862
0.39869,2.05461,1.48902,1.03218,0.64287,0.3087
0.40314,2.05429,1.48913,1.0319,0.64287,0.30889
0.41424,2.05331,1.48954,1.03114,0.64286,0.30935
0.59813,2.0004,1.45167,1.01263,0.62831,0.30557
0.59895,2.00005,1.45146,1.01258,0.62814,0.30546
0.60062,1.99932,1.45101,1.01249,0.62779,0.30523
0.60505,1.99737,1.44981,1.01063,0.62683,0.30459
0.61011,1.99513,1.4484,1.00862,0.62569,0.30382
0.73194,1.93634,1.39362,0.9704,0.59504,0.27939
0.79415,1.90379,1.37152,0.95678,0.58714,0.27161
0.8009,1.90017,1.37017,0.95568,0.58703,0.27138
0.80183,1.89967,1.37,0.95553,0.58703,0.27136
0.8054,1.89776,1.36938,0.955,0.58706,0.27131
0.84841,1.87582,1.36523,0.95134,0.59146,0.27393
0.89477,1.86474,1.36658,0.95538,0.60327,0.28237
0.95427,1.87586,1.37727,0.97598,0.62553,0.29867
0.98691,1.89314,1.38956,0.99357,0.63936,0.30683
0.99521,1.89966,1.39389,0.99853,0.64291,0.30862
1.00177,1.90579,1.39781,1.00255,0.64571,0.31003
1.0063,1.91061,1.40083,1.00537,0.64765,0.31102
1.03888,1.95589,1.4314,1.02617,0.66122,0.31896
1.06905,1.99518,1.47233,1.04548,0.67312,0.3272
1.09146,2.01651,1.50134,1.0593,0.68137,0.33317
1.20116,2.05933,1.55274,1.10934,0.70969,0.35433
1.20884,2.05858,1.55251,1.11107,0.71056,0.35507
1.21249,2.05804,1.55227,1.11178,0.7109,0.35537
1.21302,2.05795,1.55223,1.11187,0.71095,0.35541
1.21604,2.05741,1.55196,1.11239,0.71119,0.35564
1.33359,1.99669,1.51775,1.09939,0.69807,0.3507
1.36599,1.97795,1.50474,1.08813,0.68933,0.34612
1.37717,1.97286,1.50033,1.08398,0.68647,0.34437
1.41306,1.95752,1.48749,1.07077,0.67913,0.33852
1.41449,1.95688,1.48702,1.07027,0.6789,0.33828
1.41529,1.95653,1.48676,1.06999,0.67877,0.33815
1.45862,1.93648,1.47321,1.05639,0.67269,0.33121
1.47779,1.92737,1.46657,1.05118,0.67001,0.32832
1.54549,1.89488,1.43912,1.03525,0.66042,0.31956
1.60767,1.86645,1.41475,1.02171,0.65204,0.3143
1.61118,1.86485,1.41346,1.02092,0.65159,0.31409
1.61476,1.86321,1.41215,1.02011,0.65113,0.3139
1.61549,1.86288,1.41189,1.01995,0.65104,0.31386
1.61965,1.86097,1.41038,1.019,0.6505,0.31364
1.76268,1.79311,1.36413,0.9841,0.63315,0.31041
1.81404,1.76545,1.34927,0.97145,0.62681,0.30887
1.82117,1.76173,1.34726,0.96973,0.62589,0.30854
1.822,1.7613,1.34703,0.96953,0.62579,0.3085
1.82295,1.76081,1.34677,0.9693,0.62567,0.30845
1.82626,1.75913,1.34585,0.96851,0.62524,0.30828
1.9587,1.69385,1.31041,0.93828,0.60661,0.29732
1.97555,1.68505,1.30565,0.93442,0.60411,0.2957
2.0072,1.67002,1.29413,0.927,0.59941,0.29281
2.01354,1.66761,1.29154,0.92549,0.59847,0.29226
2.01701,1.66633,1.29017,0.92465,0.59796,0.29197
2.02756,1.66255,1.28624,0.92209,0.5964,0.29109
2.0391,1.65852,1.28224,0.91926,0.59469,0.29017
2.21291,1.59493,1.22239,0.87794,0.56898,0.27819
2.21358,1.59465,1.22212,0.8778,0.56888,0.27814
2.21915,1.59234,1.21987,0.87666,0.56804,0.27776
2.22001,1.59197,1.21952,0.87648,0.56791,0.2777
2.23138,1.58715,1.21479,0.8742,0.56617,0.2769
2.40868,1.50991,1.14204,0.84377,0.54605,0.26493
2.40982,1.50946,1.14172,0.84358,0.54592,0.26487
2.41203,1.5086,1.14109,0.8432,0.54567,0.26475
2.42478,1.50369,1.13771,0.84097,0.54423,0.26408
2.42645,1.50305,1.13729,0.84068,0.54405,0.264
2.61702,1.43712,1.10418,0.80479,0.52198,0.25544
2.6184,1.43666,1.10392,0.80456,0.5218,0.25536
2.62156,1.4356,1.10331,0.80404,0.5214,0.25519
2.62567,1.43422,1.10249,0.80337,0.52088,0.25497
2.69486,1.41014,1.08604,0.79327,0.51165,0.25082
2.81668,1.35801,1.05072,0.77458,0.49709,0.24381
2.81885,1.35721,1.0501,0.77422,0.49689,0.24372
2.82275,1.35581,1.04899,0.77357,0.49652,0.24355
2.82743,1.35416,1.04766,0.7728,0.49609,0.24335
2.83403,1.3519,1.04581,0.77169,0.49551,0.24309
3.01789,1.2984,0.99882,0.73946,0.48233,0.23808
3.02321,1.29695,0.99749,0.7385,0.48193,0.23787
3.02394,1.29675,0.99731,0.73837,0.48187,0.23784
3.03583,1.2935,0.99432,0.73622,0.48096,0.23732
3.22899,1.23907,0.94858,0.7004,0.46357,0.22497
3.22968,1.23886,0.94844,0.70027,0.46352,0.22492
3.23041,1.23864,0.9483,0.70012,0.46346,0.22487
3.23104,1.23844,0.94818,0.7,0.46342,0.22483
3.23488,1.23725,0.94742,0.69925,0.46312,0.22455
3.34618,1.20255,0.92866,0.68728,0.45616,0.21752
3.42743,1.18989,0.91657,0.6779,0.4515,0.21512
3.43067,1.18925,0.91608,0.67754,0.4513,0.21511
3.43216,1.18895,0.91586,0.67738,0.45121,0.2151
3.43685,1.18799,0.91514,0.67686,0.45092,0.21509
3.45204,1.18466,0.91279,0.67521,0.44994,0.21516
3.62379,1.14066,0.8835,0.65929,0.43756,0.21621
3.63062,1.13902,0.88229,0.6587,0.43707,0.21596
3.6327,1.13853,0.88192,0.65853,0.43692,0.21587
3.63382,1.13827,0.88172,0.65843,0.43684,0.21583
3.66911,1.13043,0.8755,0.65538,0.43431,0.21395
3.83701,1.10378,0.84965,0.64007,0.42241,0.20295
3.83811,1.10356,0.84952,0.63997,0.42232,0.20291
3.84021,1.10313,0.84927,0.63977,0.42217,0.20284
3.84378,1.10238,0.84887,0.63943,0.4219,0.20272
3.84442,1.10224,0.8488,0.63936,0.42185,0.2027
4.0291,1.05061,0.83406,0.62075,0.40896,0.20648
4.02964,1.05046,0.83401,0.62069,0.40893,0.2065
4.03336,1.04949,0.83365,0.6203,0.40874,0.20665
4.03387,1.04935,0.8336,0.62025,0.40872,0.20667
4.03547,1.04893,0.83344,0.62008,0.40864,0.20674
4.23025,1.01214,0.81143,0.60291,0.40103,0.20662
4.23076,1.01208,0.81138,0.60289,0.401,0.20658
4.23228,1.01189,0.81125,0.60281,0.40092,0.20649
4.23393,1.0117,0.81111,0.60272,0.40084,0.20638
4.23709,1.01134,0.81084,0.60256,0.40067,0.20616
4.42077,0.99738,0.79869,0.59576,0.38834,0.18779
4.43604,0.99622,0.79735,0.59476,0.38753,0.18652
4.43766,0.9961,0.7972,0.59464,0.38745,0.1864
4.44082,0.99585,0.7969,0.59441,0.3873,0.18616
4.44244,0.99572,0.79675,0.59429,0.38723,0.18604
4.62866,0.97674,0.76911,0.57643,0.38442,0.18103
4.62917,0.97667,0.76901,0.5764,0.38441,0.18102
4.63611,0.97578,0.76766,0.57597,0.38438,0.18092
4.64305,0.97488,0.7663,0.57558,0.38434,0.1808
4.64357,0.97481,0.7662,0.57555,0.38434,0.18079
